distance,cash_fare_per_ride,adult_card_fare_per_ride,senior_citizen_card_fare_per_ride,student_card_fare_per_ride,workfare_transport_concession_card_fare_per_ride,persons_with_disabilities_card_fare_per_ride
44.4,330,276,137,93,221,137
44.5,330,276,137,93,221,137
44.6,330,276,137,93,221,137
44.7,330,276,137,93,221,137
44.8,330,276,137,93,221,137
44.9,330,276,137,93,221,137
45.0,330,276,137,93,221,137
45.1,330,276,137,93,221,137
45.2,330,276,137,93,221,137
45.3,330,276,137,93,221,137
45.4,330,276,137,93,221,137
45.5,330,276,137,93,221,137
45.6,330,276,137,93,221,137
45.7,330,276,137,93,221,137
45.8,330,276,137,93,221,137
45.9,330,276,137,93,221,137
46.0,330,276,137,93,221,137
46.1,330,276,137,93,221,137
46.2,330,276,137,93,221,137
46.3,330,276,137,93,221,137
46.4,330,276,137,93,221,137
46.5,330,276,137,93,221,137
46.6,330,276,137,93,221,137
46.7,330,276,137,93,221,137
46.8,330,276,137,93,221,137
46.9,330,276,137,93,221,137
47.0,330,276,137,93,221,137
47.1,330,276,137,93,221,137
47.2,330,276,137,93,221,137
47.3,330,276,137,93,221,137
47.4,330,276,137,93,221,137
47.5,330,276,137,93,221,137
47.6,330,276,137,93,221,137
47.7,330,276,137,93,221,137
47.8,330,276,137,93,221,137
47.9,330,276,137,93,221,137
48.0,330,276,137,93,221,137
48.1,330,276,137,93,221,137
48.2,330,276,137,93,221,137
48.3,330,276,137,93,221,137
48.4,330,276,137,93,221,137
48.5,330,276,137,93,221,137
48.6,330,276,137,93,221,137
48.7,330,276,137,93,221,137
48.8,330,276,137,93,221,137
48.9,330,276,137,93,221,137
49.0,330,276,137,93,221,137
49.1,330,276,137,93,221,137
49.2,330,276,137,93,221,137
49.3,330,276,137,93,221,137
49.4,330,276,137,93,221,137
49.5,330,276,137,93,221,137
49.6,330,276,137,93,221,137
49.7,330,276,137,93,221,137
49.8,330,276,137,93,221,137
49.9,330,276,137,93,221,137
50.0,330,276,137,93,221,137
50.1,330,276,137,93,221,137
50.2,330,276,137,93,221,137
50.3,330,276,137,93,221,137
50.4,330,276,137,93,221,137
50.5,330,276,137,93,221,137
50.6,330,276,137,93,221,137
50.7,330,276,137,93,221,137
50.8,330,276,137,93,221,137
50.9,330,276,137,93,221,137
51.0,330,276,137,93,221,137
51.1,330,276,137,93,221,137
51.2,330,276,137,93,221,137
51.3,330,276,137,93,221,137
51.4,330,276,137,93,221,137
51.5,330,276,137,93,221,137
51.6,330,276,137,93,221,137
51.7,330,276,137,93,221,137
51.8,330,276,137,93,221,137
51.9,330,276,137,93,221,137
52.0,330,276,137,93,221,137
52.1,330,276,137,93,221,137
52.2,330,276,137,93,221,137
52.3,330,276,137,93,221,137
52.4,330,276,137,93,221,137
52.5,330,276,137,93,221,137
52.6,330,276,137,93,221,137
52.7,330,276,137,93,221,137
52.8,330,276,137,93,221,137
52.9,330,276,137,93,221,137
53.0,330,276,137,93,221,137
53.1,330,276,137,93,221,137
53.2,330,276,137,93,221,137
53.3,330,276,137,93,221,137
53.4,330,276,137,93,221,137
53.5,330,276,137,93,221,137
53.6,330,276,137,93,221,137
53.7,330,276,137,93,221,137
53.8,330,276,137,93,221,137
53.9,330,276,137,93,221,137
54.0,330,276,137,93,221,137
54.1,330,276,137,93,221,137
54.2,330,276,137,93,221,137
54.3,330,276,137,93,221,137
54.4,330,276,137,93,221,137
54.5,330,276,137,93,221,137
54.6,330,276,137,93,221,137
54.7,330,276,137,93,221,137
54.8,330,276,137,93,221,137
54.9,330,276,137,93,221,137
55.0,330,276,137,93,221,137
55.1,330,276,137,93,221,137
55.2,330,276,137,93,221,137
55.3,330,276,137,93,221,137
55.4,330,276,137,93,221,137
55.5,330,276,137,93,221,137
55.6,330,276,137,93,221,137
55.7,330,276,137,93,221,137
55.8,330,276,137,93,221,137
55.9,330,276,137,93,221,137
56.0,330,276,137,93,221,137
56.1,330,276,137,93,221,137
56.2,330,276,137,93,221,137
56.3,330,276,137,93,221,137
56.4,330,276,137,93,221,137
56.5,330,276,137,93,221,137
56.6,330,276,137,93,221,137
56.7,330,276,137,93,221,137
56.8,330,276,137,93,221,137
56.9,330,276,137,93,221,137
57.0,330,276,137,93,221,137
57.1,330,276,137,93,221,137
57.2,330,276,137,93,221,137
57.3,330,276,137,93,221,137
57.4,330,276,137,93,221,137
57.5,330,276,137,93,221,137
57.6,330,276,137,93,221,137
57.7,330,276,137,93,221,137
57.8,330,276,137,93,221,137
57.9,330,276,137,93,221,137
58.0,330,276,137,93,221,137
58.1,330,276,137,93,221,137
58.2,330,276,137,93,221,137
58.3,330,276,137,93,221,137
58.4,330,276,137,93,221,137
58.5,330,276,137,93,221,137
58.6,330,276,137,93,221,137
58.7,330,276,137,93,221,137
58.8,330,276,137,93,221,137
58.9,330,276,137,93,221,137
59.0,330,276,137,93,221,137
59.1,330,276,137,93,221,137
59.2,330,276,137,93,221,137
59.3,330,276,137,93,221,137
59.4,330,276,137,93,221,137
59.5,330,276,137,93,221,137
59.6,330,276,137,93,221,137
59.7,330,276,137,93,221,137
59.8,330,276,137,93,221,137
59.9,330,276,137,93,221,137
60.0,330,276,137,93,221,137
60.1,330,276,137,93,221,137
60.2,330,276,137,93,221,137
